,Unnamed: 0,Unnamed: 0.1,Name,Team,Pos,Nationality,CTteam,Height,Weight,MinutesPlayedPG,ptsPG,rebPG,astPG,toPG,stlPG,blkPG,pfPG,TotalGames,TotalMinutesPlayed,2ptsPercentage,3ptsPercentage,ftPercentage,fgPercentage,2ptsM_PG,2ptsA_PG,3ptsM_PG,3ptsA_PG,ftM_PG,ftA_PG,fgM_PG,fgA_PG,Totalpts,TotalREB,TotalAst,TotalTO,TotalSTL,TotalBLK,TotalPF,EFF,eFG,TS,TOV,C,F,G,pts_25min,reb_25min,ast_25min,to_25min,stl_25min,blk_25min,pf_25min,2ptsM_25min,2ptsA_25min,3ptsM_25min,3ptsA_25min,ftM_25min,ftA_25min,fgM_25min,fgA_25min,tsne_pos
0,0,0,夏普,金門酒廠,F,0,0,204,111,32,19.7,13.1,2.9,2.6,1.5,2.0,2.5,44,1395,0.4885,0.3529,0.6977,0.4483,5.8,11.9,1.8,5.0,2.7,3.9,7.6,16.9,866,578,129,113,67,86,110,26.1,0.50295858,0.52911474,0.12254902,0,1,0,15.390625,10.234375,2.265625,2.03125,1.171875,1.5625,1.953125,4.53125,9.296875,1.40625,3.90625,2.109375,3.046875,5.9375,13.203124999999998,0
1,1,1,賽勒,金門酒廠,C,0,0,211,138,32,16.3,13.9,1.2,2.2,0.7,1.7,3.1,47,1494,0.7089,0.0,0.4532,0.7089,7.1,10.1,0.0,0.0,2.0,4.3,7.1,10.1,764,655,55,102,31,78,145,26.3,0.702970297,0.679619746,0.155016911,1,0,0,12.734375,10.859375,0.9375,1.7187500000000002,0.546875,1.328125,2.421875,5.546875,7.890625,0.0,0.0,1.5625,3.359375,5.546875,7.890625,0
2,2,2,瓊斯,桃園璞園建築,C,0,0,195,82,29,17.7,9.6,1.0,2.1,1.4,1.4,1.7,56,1649,0.5158,0.2447,0.7546,0.4835,6.4,12.4,0.4,1.7,3.7,4.9,6.8,14.1,993,536,56,120,80,78,93,20.5,0.49645390100000003,0.54441437,0.11440401,1,0,0,15.258620689655173,8.275862068965518,0.8620689655172413,1.8103448275862069,1.206896551724138,1.206896551724138,1.4655172413793103,5.517241379310345,10.689655172413794,0.3448275862068966,1.4655172413793103,3.189655172413793,4.224137931034483,5.862068965517241,12.155172413793103,0
3,3,3,戴維斯,裕隆納智捷,F,0,0,206,105,35,22.7,13.0,3.1,4.1,2.4,1.5,3.2,85,2943,0.4703,0.1594,0.6292,0.4572,8.7,18.6,0.1,0.8,4.8,7.6,8.9,19.4,1928,1101,263,345,203,125,274,25.3,0.46134020600000003,0.49903271200000004,0.15273431699999998,0,1,0,16.214285714285715,9.285714285714286,2.2142857142857144,2.9285714285714284,1.7142857142857142,1.0714285714285714,2.2857142857142856,6.2142857142857135,13.285714285714286,0.07142857142857142,0.5714285714285714,3.4285714285714284,5.428571428571429,6.357142857142857,13.857142857142856,0
4,4,4,史貝斯,臺灣銀行,F,0,0,199,100,27,15.8,7.1,1.9,1.2,1.7,1.3,3.2,9,240,0.5195,0.4,0.7647,0.486,4.4,8.6,1.3,3.3,2.9,3.8,5.8,11.9,142,64,17,11,15,12,29,19.6,0.542016807,0.582080754,0.081234768,0,1,0,14.62962962962963,6.574074074074074,1.7592592592592593,1.1111111111111112,1.5740740740740742,1.2037037037037037,2.962962962962963,4.074074074074074,7.962962962962963,1.2037037037037037,3.0555555555555554,2.685185185185185,3.5185185185185186,5.37037037037037,11.018518518518519,0
5,5,5,天使,金門酒廠,F,0,0,195,93,30,18.5,9.2,2.5,2.5,1.5,1.9,1.8,22,655,0.4599,0.3333,0.6629999999999999,0.4153,5.0,10.8,2.0,5.9,2.8,4.2,6.9,16.6,408,203,55,56,34,42,40,20.0,0.475903614,0.501409367,0.119343135,0,1,0,15.416666666666666,7.666666666666666,2.0833333333333335,2.0833333333333335,1.25,1.5833333333333333,1.5,4.166666666666667,9.0,1.6666666666666667,4.916666666666667,2.3333333333333335,3.5,5.75,13.833333333333336,0
6,6,6,強森,桃園璞園建築,F,0,0,195,90,30,22.3,9.4,4.1,2.0,1.3,0.4,1.5,21,624,0.5576,0.3707,0.7519,0.4925,5.8,10.3,2.0,5.5,4.6,6.1,7.8,15.9,468,198,86,42,27,9,31,25.9,0.553459119,0.599978476,0.097162845,0,1,0,18.583333333333332,7.833333333333333,3.416666666666666,1.6666666666666667,1.0833333333333333,0.3333333333333333,1.25,4.833333333333333,8.583333333333334,1.6666666666666667,4.583333333333333,3.833333333333333,5.083333333333333,6.5,13.25,0
7,7,7,佐藍,金門酒廠,F,0,0,197,95,27,17.2,6.0,2.0,1.9,0.5,0.3,1.9,21,559,0.6013,0.3738,0.8657,0.5077,4.4,7.3,1.9,5.1,2.8,3.2,6.3,12.4,362,125,41,40,10,6,39,17.6,0.584677419,0.622827346,0.12095747400000001,0,1,0,15.925925925925926,5.555555555555555,1.8518518518518519,1.7592592592592593,0.46296296296296297,0.2777777777777778,1.7592592592592593,4.074074074074074,6.7592592592592595,1.7592592592592593,4.722222222222221,2.5925925925925926,2.962962962962963,5.833333333333333,11.481481481481481,0
8,8,8,道森,裕隆納智捷,C,0,0,202,105,30,17.4,15.8,2.3,1.9,1.4,1.4,1.9,14,426,0.5266,0.0,0.7419,0.5266,7.1,13.4,0.0,0.0,3.3,4.4,7.1,13.4,244,221,32,27,20,20,26,29.0,0.529850746,0.567292645,0.11023439300000001,1,0,0,14.499999999999998,13.166666666666666,1.9166666666666665,1.5833333333333333,1.1666666666666667,1.1666666666666667,1.5833333333333333,5.916666666666667,11.166666666666666,0.0,0.0,2.75,3.666666666666667,5.916666666666667,11.166666666666666,0
9,9,9,賈西亞,富邦勇士,C,0,0,208,104,32,21.4,12.8,2.5,2.6,0.8,1.2,2.7,53,1711,0.4889,0.2308,0.7135,0.4595,7.5,15.3,0.5,2.0,5.1,7.1,7.9,17.2,1133,677,132,139,41,64,142,24.8,0.473837209,0.5264711670000001,0.113418252,1,0,0,16.71875,10.0,1.953125,2.03125,0.625,0.9375,2.109375,5.859375,11.953125,0.390625,1.5625,3.9843749999999996,5.546875,6.171875,13.4375,0
